Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26
Abia,0,2023-2024 DHS,SE,25.4,0.4,13.3,20,57.6,12.1,0,87.4,72,25.7,26,60.6,6.6,82.4,42.9,66.7,81.3,74.7,65.8,100,69,89.1
Adamawa,0,2023-2024 DHS,NE,78.6,2,48.9,47.9,60.7,42.6,54.3,72.3,56.7,34.4,9.5,70.3,21,44.1,66.5,79.3,89.1,97.8,99.1,96.5,144,76.1
Akwa Ibom,1,2023-2024 DHS,SS,70.9,1.9,59.9,25.4,33.4,29.2,41.9,81.4,51.9,25.2,41.4,70.1,16.3,90.5,68.9,78.7,86.9,89.5,83,94.4,80,46.2
Anambra,0,2023-2024 DHS,SE,56.8,1.3,35.2,36.9,52.9,38.3,59,93.2,70.4,26,12.5,88.4,6.5,71.5,40.7,61,97.3,99.3,82,97.6,72,84.9
Bauchi,1,2023-2024 DHS,NE,76.4,2.1,44.8,50.5,62.4,53.5,68.9,63.3,55,35.9,11.7,38.6,33.9,0,49,37.1,80.1,83.8,97.9,97.8,125,67.3
Bayelsa,0,2023-2024 DHS,SS,38.9,0.6,15,34.6,72.5,20.6,0,81.3,63.2,41,25.9,71.3,13.7,52.6,40.1,40.6,60.9,89.3,87.1,65.5,73,62.7
Benue,1,2023-2024 DHS,NC,82.3,2,60.2,58.5,68.5,58.7,71.5,65.5,54.9,36.6,8.5,67.2,34.6,0,51.9,47.9,96.4,97.6,98.3,91.9,53,58.8
Borno,0,2023-2024 DHS,NE,57.3,0.9,20.6,39.6,62.4,36.1,65.9,79.8,60,6.8,10.1,69.9,46.3,52.2,42.9,48.2,81.8,91.6,96.8,94,86,77.5
Cross River,1,2023-2024 DHS,SS,80.2,1.8,64.6,51.4,62.2,30.4,43.1,89.6,76,51.9,20.1,83.4,32,70.9,81.5,89.4,96.8,93.6,95.4,96.9,60,58
Delta,0,2023-2024 DHS,SS,58,1.3,40.5,39.5,61.9,31,48.2,70.8,48.7,20.2,11.3,65.3,30.9,82,49.2,70.2,92.9,91.1,94.2,89.3,33,82.3
Ebonyi,1,2023-2024 DHS,SE,74.4,1.7,32.9,31.6,41.9,36.5,48.6,79.2,66.5,31.2,22.8,39.7,16.3,76.4,16.6,55.7,70.9,91.2,87.3,99.7,68,56.4
Edo,0,2023-2024 DHS,SS,21,0.4,9,15.4,45,11.2,0,70.2,50.7,24.4,13.3,59.1,19,71.1,53.8,37.1,84.1,96.4,77.4,92.7,19,85.6
Ekiti,0,2023-2024 DHS,SW,25.4,0.4,14.8,16.1,52.3,19.3,0,80.6,62.4,35.1,10.7,61.8,17.8,0,20.6,49.6,73.9,67.1,68.1,87.8,44,87.3
Enugu,0,2023-2024 DHS,SE,17,0.2,6.5,13.3,40.1,7.1,0,79.9,76.6,43.1,9.2,52.7,2.1,55.7,20.9,41.1,56.4,81.5,93.3,93.1,49,81.9
FCT,0,2023-2024 DHS,NC,40.3,0.6,19.4,36.6,63,27.9,58.6,87.9,76.1,26.7,13.2,88.2,38.6,57.2,35.2,55.5,98.6,98.3,94.8,83.9,60,73.2
